CustomerID,Age,Annual_Income,Spending_Score,Region,Product_Category,Purchase_Channel,Num_Purchases,Avg_Transaction_Value,Total_Sales,Customer_Segment
1,22,107813,32,East,Furniture,In-Store,13,489.18,6663.34,Premium
2,58,26206,84,West,Clothing,Online,19,45.83,996.14,Regular
3,52,59752,4,East,Sports,In-Store,16,83.28,1471.7,Budget
4,40,65826,45,East,Electronics,Online,20,417.1,9209.14,Regular
5,40,99787,80,South,Groceries,Online,18,81.11,1467.51,VIP
6,62,32903,95,North,Electronics,In-Store,19,197.82,3831.08,Premium
7,22,63405,25,South,Groceries,In-Store,14,147.93,2293.81,Regular
8,54,35232,65,East,Electronics,Mobile,12,129.29,1723.52,Regular
9,28,98763,19,North,Electronics,In-Store,24,22.6,591.59,Regular
10,22,83228,12,North,Groceries,Mobile,13,287.46,4094.13,Regular
11,45,69673,35,South,Clothing,In-Store,15,206.61,3452.11,Regular
12,68,59292,88,West,Electronics,In-Store,26,280.28,6442.94,Premium
13,56,35317,69,East,Sports,Online,17,159.21,2538.2,Regular
14,57,112185,49,East,Electronics,In-Store,17,471.32,9156.89,Premium
15,55,84766,28,East,Groceries,Online,15,299.76,4556.8,Regular
16,58,51915,15,North,Groceries,Online,12,480.99,5211.66,Budget
17,44,61393,27,South,Clothing,Online,20,181.5,3633.33,Regular
18,24,92618,16,North,Clothing,Mobile,23,11.12,266.95,Regular
19,61,91956,19,West,Electronics,In-Store,17,392.82,7335.49,Regular
20,41,66109,69,West,Furniture,Mobile,15,415.42,6814.88,Premium
21,44,50290,14,South,Electronics,Mobile,22,38.76,737.41,Budget
22,37,85995,5,South,Electronics,Mobile,23,316.43,7176.42,Regular
23,27,85823,54,South,Clothing,Online,17,333.9,4859.88,Premium
24,66,79969,29,West,Sports,Mobile,18,81.41,1636.02,Regular
25,58,27285,46,South,Furniture,Mobile,16,280.74,4052.41,Regular
26,51,67278,14,West,Sports,Mobile,24,129.17,3216.22,Regular
27,38,81391,21,South,Groceries,Online,11,18.06,202.87,Regular
28,60,115006,44,East,Groceries,Online,15,434.79,6767.46,Premium
29,46,72556,69,East,Groceries,Mobile,13,250.93,3324.15,Premium
30,41,54271,42,South,Sports,Online,12,393.03,5021.4,Regular
31,41,75579,54,West,Groceries,Online,9,364.22,3402.0,Premium
32,29,37723,52,East,Clothing,In-Store,11,496.92,4794.28,Regular
33,22,29069,27,West,Groceries,Online,24,224.6,5174.95,Budget
34,46,87809,28,West,Groceries,Online,15,219.5,3338.52,Regular
35,64,118618,43,North,Electronics,Mobile,14,148.06,1964.14,Premium
36,21,104600,4,North,Clothing,Mobile,9,316.32,3069.22,Regular
37,62,78366,68,East,Clothing,Mobile,15,248.2,3519.61,Premium
38,61,24025,61,South,Furniture,Online,12,367.09,4839.44,Regular
39,32,118797,31,South,Clothing,Online,19,184.69,3137.21,Premium
40,50,64963,37,North,Furniture,Online,18,74.11,1441.79,Regular
41,26,48966,33,South,Clothing,In-Store,13,432.59,5089.64,Regular
42,57,109248,65,South,Furniture,Online,17,415.74,7126.98,VIP
43,54,94640,76,South,Electronics,In-Store,13,181.99,2238.49,Premium
